Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Language Preference;Senator;Service in Senate;Notes
Hormidas Jeannotte, M.P.;1843-12-22;Saint-Henri-de-Mascouche, Canada East;1909-04-29;notary;1484 days [4 year(s), 23 day(s)];(1892-05-31 - 1896-06-22);1484 days [4 year(s), 23 day(s)];;;;
Alexander Haley Jeffery;1909-01-29;London, Ontario, Canada;1987-05-11;barrister;1505 days [4 year(s), 1 month(s), 14 day(s)];(1949-06-27 - 1953-08-09);1505 days [4 year(s), 1 month(s), 14 day(s)];;;;
The Hon. Otto John Jelinek, P.C., M.P.;1940-05-20;Prague, Czechoslovakia;;diplomat, athlete, businessman, ambassador;7665 days [20 year(s), 11 month(s), 25 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1988-11-20)|(1988-11-21 - 1993-10-24);7665 days [20 year(s), 11 month(s), 25 day(s)];;;;
Lincoln Henry Jelliff;1865-04-26;Oneida, Illinois, United States;1962-09-24;farmer, insurance advisor, lawyer;3156 days [8 year(s), 7 month(s), 21 day(s)];(1921-12-06 - 1930-07-27);3156 days [8 year(s), 7 month(s), 21 day(s)];;;;
Matt Jeneroux, M.P.;;Edmonton, Alberta, Canada;;politician, public servant;3845 days [10 year(s), 6 month(s), 10 day(s)];(2015-10-19 - );3845 days [10 year(s), 6 month(s), 10 day(s)];English;;;
John Theophilus Jenkins, M.P.;1829-10-12;Charlottetown, Prince Edward Island, Canada;1919-01-17;coroner, physician;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;
Robert Harold Jenkins, M.P.;1873-06-30;Mount Albion, Prince Edward Island, Canada;1939-11-05;merchant, investment dealer;1733 days [4 year(s), 8 month(s), 29 day(s)];(1925-10-29 - 1930-07-27);1733 days [4 year(s), 8 month(s), 29 day(s)];;;;
Daphne G. Jennings, M.P.;1939-01-26;North Vancouver, British Columbia, Canada;;teacher;1316 days [3 year(s), 7 month(s), 7 day(s)];(1993-10-25 - 1997-06-01);1316 days [3 year(s), 7 month(s), 7 day(s)];;;;
The Hon. Marlene Jennings, P.C., M.P.;1951-11-10;Longueuil, Quebec, Canada;;senior public servant, lawyer;5082 days [13 year(s), 10 month(s), 30 day(s)];(1997-06-02 - 2011-05-01);5082 days [13 year(s), 10 month(s), 30 day(s)];;;;
James Kenneth (Jim) Jepson;1942-04-08;Hamilton, Ontario, Canada;1989-11-29;businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;
