Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Notes;Language Preference
Bruce Andrew Thomas Howard, M.P.;1922-12-05;Drayton, Ontario, Canada;2002-09-11;realtor;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;
The Hon. Charles Benjamin Howard, M.P., Senator;1885-09-27;Smith's Mills, Quebec, Canada;1964-03-25 (Died in Office);lumber merchant, industrialist, businessman;14028 days [38 year(s), 4 month(s), 27 day(s)];(1925-10-29 - 1940-02-08);5216 days [14 year(s), 3 month(s), 12 day(s)];(1940-02-09 - 1964-03-25);8812 days [24 year(s), 1 month(s), 16 day(s)];;
Frank Howard;1925-04-26;Kimberley, British Columbia, Canada;2011-03-15;logger, union staff member;6237 days [17 year(s), 28 day(s)];(1957-06-10 - 1974-07-07);6237 days [17 year(s), 28 day(s)];;;;
The Hon. John Power Howden, M.P., Senator;1879-12-05;Perth, Ontario, Canada;1959-11-04 (Died in Office);physician;12425 days [34 year(s), 7 day(s)];(1925-10-29 - 1945-04-17);7111 days [19 year(s), 5 month(s), 19 day(s)];(1945-04-18 - 1959-11-04);5314 days [14 year(s), 6 month(s), 18 day(s)];;
The Right Hon. Clarence Decatur Howe, P.C., M.P.;1886-01-15;Waltham, Massachusetts, United States;1960-12-31;professor, consulting engineer, civil engineer;7910 days [21 year(s), 7 month(s), 27 day(s)];(1935-10-14 - 1957-06-09);7910 days [21 year(s), 7 month(s), 27 day(s)];;;;
The Hon. Joseph Howe, P.C., M.P.;1804-12-13;Halifax, Nova Scotia, Canada;1873-06-01;newspaper owner, newspaper editor, author;1972 days [5 year(s), 4 month(s), 24 day(s)];(1867-09-20 - 1869-01-29)|(1869-04-24 - 1873-05-06);1972 days [5 year(s), 4 month(s), 24 day(s)];;;;
William Dean Howe, M.P.;1916-01-12;Toronto, Ontario, Canada;1982-06-24;physician;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];;;;
William Marvin Howe;1906-02-24;Palmerston, Ontario, Canada;1996-07-17;merchant;7021 days [19 year(s), 2 month(s), 20 day(s)];(1953-08-10 - 1968-06-24)|(1968-06-25 - 1972-10-29);7021 days [19 year(s), 2 month(s), 20 day(s)];;;;
The Hon. J. Robert Howie, P.C., Q.C., M.P.;1929-10-02;Fredericton, New Brunswick, Canada;2017-11-25;lawyer;5866 days [16 year(s), 22 day(s)];(1972-10-30 - 1988-11-20);5866 days [16 year(s), 22 day(s)];;;;
The Hon. George William Howlan, Senator;1835-05-19;County Waterford, Ireland;1901-05-11;merchant, shipowner;7370 days [20 year(s), 2 month(s), 4 day(s)];;;(1873-10-18 - 1880-12-27)|(1881-01-05 - 1891-02-18)|(1891-03-25 - 1894-02);7370 days [20 year(s), 2 month(s), 4 day(s)];;
