Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Senator;Service in Senate;Language Preference;Notes
Harry James Barber, M.P.;1875-03-29;Alton, Ontario, Canada;1959-02-11;pharmacist;5262 days [14 year(s), 4 month(s), 27 day(s)];(1925-10-29 - 1940-03-25);5262 days [14 year(s), 4 month(s), 27 day(s)];;;;
Charles-Noël Barbès, M.P.;1914-12-25;Hull, Quebec, Canada;2008-06-08;lawyer;294 days [, 9 month(s), 20 day(s)];(1957-06-10 - 1958-03-30);294 days [, 9 month(s), 20 day(s)];;;;
Vivian Barbot, M.P.;1941-07-07;Saint-Marc, Haiti;;president / manager, teacher;995 days [2 year(s), 8 month(s), 22 day(s)];(2006-01-23 - 2008-10-13);995 days [2 year(s), 8 month(s), 22 day(s)];;;;
The Hon. George Hilton Barbour, Senator;1878-09-05;Alma, Prince Edward Island, Canada;1962-02-06 (Died in Office);farmer, rancher;4599 days [12 year(s), 7 month(s), 3 day(s)];;;(1949-07-06 - 1962-02-06);4599 days [12 year(s), 7 month(s), 3 day(s)];;
Jean Louis Baribeau, M.P.;1893-03-19;Sainte-Geneviève-de-Batiscan, Quebec, Canada;1975-12-26;merchant;1904 days [5 year(s), 2 month(s), 17 day(s)];(1930-07-28 - 1935-10-13);1904 days [5 year(s), 2 month(s), 17 day(s)];;;;
Sir Frederick Eustace Barker, Q.C., M.P.;1838-12-27;Sheffield, New Brunswick, Canada;1915-12-15;lawyer;455 days [1 year(s), 2 month(s), 29 day(s)];(1885-11-24 - 1887-02-21);455 days [1 year(s), 2 month(s), 29 day(s)];;;;
The Hon. Samuel Barker, P.C., M.P.;1839-05-25;Kingston, Upper Canada;1915-06-26 (Died in Office);lawyer;5345 days [14 year(s), 7 month(s), 19 day(s)];(1900-11-07 - 1904-11-02)|(1904-11-03 - 1915-06-26);5345 days [14 year(s), 7 month(s), 19 day(s)];;;;
John Barlow, M.P.;1971-10-13;Regina, Saskatchewan, Canada;;journalist;4320 days [11 year(s), 9 month(s), 28 day(s)];(2014-06-30 - 2015-10-18)|(2015-10-19 - );4320 days [11 year(s), 9 month(s), 28 day(s)];;;English;
Francis Jones Barnard, M.P.;1829-02-18;Québec;1889-07-10;businessman;2703 days [7 year(s), 4 month(s), 24 day(s)];(1879-09-29 - 1887-02-21);2703 days [7 year(s), 4 month(s), 24 day(s)];;;;
The Hon. Sir Frank Stillman Barnard, M.P.;1856-05-16;Toronto, Canada West;1936-04-11;businessman;2770 days [7 year(s), 7 month(s), 30 day(s)];(1888-11-22 - 1896-06-22);2770 days [7 year(s), 7 month(s), 30 day(s)];;;;
The Hon. George Henry Barnard, K.C., M.P., Senator;1868-10-09;Victoria, British Columbia, Canada;1954-01-13;lawyer;13528 days [37 year(s), 14 day(s)];(1908-10-26 - 1917-10-22);3284 days [8 year(s), 11 month(s), 27 day(s)];(1917-10-23 - 1945-11-08);10244 days [28 year(s), 17 day(s)];;
Rex Barnes, M.P.;1959-06-04;Grand Falls-Windsor, Newfoundland and Labrador, Canada;;volunteer worker, paramedic;777 days [2 year(s), 1 month(s), 17 day(s)];(2002-05-13 - 2004-06-27);777 days [2 year(s), 1 month(s), 17 day(s)];;;;
The Hon. Susan (Sue) Barnes, P.C., M.P.;1952-09-08;Rabat, Malta;;lawyer;5468 days [14 year(s), 11 month(s), 20 day(s)];(1993-10-25 - 2008-10-13);5468 days [14 year(s), 11 month(s), 20 day(s)];;;;
